Customer ID,total_purchase,purchase_frequency,unique_categories,avg_age,churn,cluster
363,14543,5,4,67.0,0,0
364,14827,6,4,57.0,0,0
365,7992,3,2,56.0,0,3
366,3288,2,2,51.0,1,2
367,8455,3,3,65.0,0,0
368,2052,2,2,69.0,0,3
369,12817,4,3,21.0,0,0
370,14914,6,4,28.0,0,0
371,10024,5,3,36.0,0,0
372,14200,5,4,39.0,0,0
373,7553,2,2,31.0,0,3
374,25461,7,4,50.0,0,1
375,12176,4,3,67.0,0,0
376,24007,7,4,54.0,0,1
377,15264,6,3,19.0,0,0
378,10739,3,3,63.0,0,0
379,13401,3,3,60.0,0,0
380,12376,4,2,37.0,1,2
381,10658,4,3,63.0,0,0
382,6765,3,2,66.0,0,3
383,10593,4,3,44.0,0,0
384,14018,6,3,48.0,0,0
385,16038,6,3,36.0,1,2
386,11103,5,4,49.0,1,2
387,6514,3,2,34.0,0,3
388,15756,4,2,56.0,0,3
389,11814,5,2,36.0,0,0
390,13721,3,2,34.0,0,3
391,12602,5,2,46.0,1,2
392,10354,4,3,25.0,1,2
393,11362,5,2,26.0,0,0
394,13415,5,3,42.0,0,0
395,4099,2,2,69.0,0,3
396,23468,5,3,68.0,1,2
397,9519,6,4,24.0,0,0
398,17712,6,3,48.0,1,2
399,13606,4,3,39.0,1,2
400,26338,8,4,35.0,0,1
401,13078,8,3,36.0,1,2
402,24017,9,4,59.0,0,1
403,25165,6,3,70.0,1,2
404,16247,7,2,38.0,0,0
405,4577,2,2,35.0,1,2
406,16833,8,3,28.0,0,1
407,2780,2,2,57.0,0,3
408,17312,4,3,65.0,0,0
409,25320,9,4,19.0,0,1
410,403,1,1,21.0,0,3
411,20561,8,3,23.0,0,1
412,17208,7,4,44.0,0,1
413,8600,3,1,29.0,1,2
414,7889,2,2,21.0,0,3
415,1945,2,2,20.0,0,3
416,9715,3,1,48.0,0,3
417,8980,4,3,20.0,0,0
418,12685,4,3,30.0,1,2
419,10255,5,4,44.0,0,0
420,16320,5,2,45.0,0,0
421,15303,6,3,65.0,0,0
422,11972,5,4,69.0,0,0
423,10081,3,2,28.0,0,3
424,14366,5,4,21.0,0,0
425,12512,5,2,20.0,0,0
426,10239,4,3,45.0,0,0
427,14494,5,2,59.0,0,0
428,16117,7,4,27.0,0,1
429,5807,4,2,31.0,0,3
430,6081,3,3,54.0,0,0
431,14957,5,4,34.0,1,2
432,26191,8,4,67.0,0,1
433,1998,2,2,49.0,0,3
434,13228,7,3,36.0,0,0
435,16171,7,3,48.0,0,0
436,6221,3,2,50.0,0,3
437,8776,3,2,28.0,0,3
438,10803,4,3,27.0,0,0
439,4115,3,1,24.0,0,3
440,15615,5,3,37.0,0,0
441,9936,5,4,31.0,0,0
442,12032,3,3,67.0,1,2
443,17189,5,4,23.0,0,0
444,10788,6,3,44.0,0,0
445,9444,5,2,43.0,0,3
446,24805,7,3,54.0,0,1
447,3811,2,1,38.0,0,3
448,7644,3,2,39.0,0,3
449,10076,5,4,18.0,0,0
450,23219,8,4,60.0,0,1
451,13573,6,4,63.0,0,0
452,20587,7,4,63.0,0,1
453,10823,4,2,37.0,0,3
454,17685,5,4,37.0,1,2
455,15020,4,2,47.0,0,3
456,9083,2,2,19.0,0,3
457,16123,5,2,34.0,0,0
458,6910,3,2,40.0,1,2
459,15600,4,3,36.0,1,2
460,27338,8,4,19.0,0,1
461,12787,3,3,70.0,0,0
462,23295,7,3,48.0,0,1
463,12341,4,3,26.0,1,2
464,11431,4,2,38.0,1,2
465,9020,3,1,28.0,0,3
466,8184,3,3,64.0,1,2
467,20572,5,3,61.0,0,0
468,13542,5,4,39.0,0,0
469,19161,6,3,33.0,0,0
470,16199,4,2,45.0,0,0
471,18896,7,3,63.0,0,1
472,13059,5,3,38.0,0,0
473,8736,6,2,49.0,0,0
474,19227,6,2,46.0,0,0
475,5688,2,1,67.0,0,3
476,8451,2,1,19.0,0,3
477,7924,2,2,29.0,1,2
478,14545,4,3,42.0,0,0
479,6495,3,3,46.0,1,2
480,8069,3,1,54.0,0,3
481,14978,5,4,50.0,0,0
482,13719,6,3,68.0,0,0
483,17229,8,3,32.0,1,2
484,18909,7,3,63.0,0,1
485,28080,8,3,64.0,1,1
486,19650,10,4,21.0,1,1
487,2939,2,1,18.0,0,3
488,24331,8,3,41.0,0,1
489,12838,8,2,47.0,0,0
490,13731,4,3,57.0,0,0
491,9545,4,3,20.0,1,2
492,25356,8,4,25.0,0,1
493,16629,8,4,42.0,0,1
494,2492,2,1,35.0,0,3
495,9602,4,3,30.0,0,0
496,5841,4,2,23.0,0,3
497,23974,9,4,64.0,0,1
498,8942,3,2,52.0,0,3
499,19534,8,4,32.0,0,1
500,12219,5,3,33.0,0,0
501,8163,3,2,25.0,0,3
502,9516,4,2,19.0,0,3
503,20118,7,3,43.0,0,1
504,13779,5,3,30.0,0,0
505,22835,10,4,38.0,0,1
506,8562,5,2,56.0,0,3
507,15061,5,4,51.0,0,0
508,13208,4,3,63.0,0,0
509,6070,3,2,42.0,0,3
510,24241,7,2,70.0,0,1
511,11152,5,3,34.0,0,0
512,3132,1,1,30.0,0,3
513,16829,5,3,55.0,0,0
514,4187,3,2,57.0,0,3
515,9660,3,3,58.0,0,0
516,17779,6,2,35.0,1,2
517,6503,4,3,70.0,1,2
518,10743,7,3,41.0,0,0
519,11017,4,3,57.0,0,0
520,5842,4,2,23.0,0,3
521,10191,5,3,30.0,0,0
522,13158,5,2,64.0,0,0
523,16482,5,3,66.0,0,0
524,16168,7,3,43.0,0,0
525,12543,5,3,47.0,0,0
526,22053,8,3,42.0,0,1
527,18623,6,3,49.0,0,0
528,10830,4,2,46.0,1,2
529,14466,5,3,28.0,0,0
530,24520,9,4,38.0,1,1
531,10680,3,2,35.0,0,3
532,17553,5,2,62.0,0,0
533,22594,8,4,19.0,1,2
534,21665,8,3,34.0,1,2
535,10956,3,2,52.0,0,3
536,20509,6,4,46.0,1,2
537,3755,2,1,61.0,0,3
538,11298,7,3,42.0,1,2
539,46390,13,4,68.0,0,1
540,14149,5,3,51.0,0,0
541,4166,3,3,65.0,0,3
542,17431,6,4,36.0,0,0
543,7620,4,3,58.0,0,0
544,9522,3,2,46.0,0,3
545,14128,5,3,48.0,0,0
546,13422,5,3,55.0,0,0
547,17435,6,2,19.0,0,0
548,29989,8,3,65.0,0,1
549,15527,4,3,60.0,1,2
550,6211,3,3,35.0,0,0
551,13985,6,3,38.0,0,0
552,4500,1,1,25.0,1,3
553,7656,3,3,37.0,0,0
554,14303,4,3,35.0,0,0
555,33993,10,4,37.0,0,1
556,4583,2,2,66.0,0,3
557,16712,5,4,60.0,0,0
558,10039,3,2,47.0,0,3
559,7972,5,4,46.0,0,0
560,9581,4,3,38.0,0,0
561,19931,7,4,29.0,1,2
562,5520,2,2,57.0,0,3
563,13867,7,4,28.0,0,0
564,7230,2,2,30.0,1,2
565,10573,7,4,58.0,0,0
566,11924,4,3,63.0,0,0
567,15700,6,2,40.0,0,0
568,20210,6,3,54.0,0,0
569,13105,4,3,23.0,1,2
570,8792,4,3,19.0,0,0
571,1432,1,1,30.0,0,3
572,15942,8,4,53.0,0,1
573,24458,8,3,31.0,0,1
574,16821,5,2,64.0,0,0
575,17550,6,3,64.0,0,0
576,8962,3,2,52.0,0,3
577,16413,6,2,63.0,1,2
578,16873,5,3,56.0,0,0
579,32023,10,4,69.0,0,1
580,25102,8,4,64.0,0,1
581,11882,4,2,63.0,0,3
582,14676,5,3,51.0,0,0
583,9991,4,2,56.0,0,3
585,8786,3,2,49.0,0,3
586,16816,5,3,45.0,0,0
587,19135,6,3,63.0,0,0
588,3679,3,3,47.0,0,3
589,24219,7,3,69.0,0,1
590,11354,4,3,38.0,0,0
591,8254,3,2,64.0,0,3
592,3659,4,3,20.0,0,0
593,9354,4,3,69.0,0,0
594,28316,10,4,28.0,0,1
595,14700,5,3,52.0,0,0
596,9196,3,3,19.0,1,2
597,10390,3,2,65.0,0,3
598,28069,9,3,55.0,0,1
599,11040,5,2,66.0,0,3
600,11578,5,3,48.0,0,0
601,16488,5,2,31.0,1,2
602,14412,5,2,45.0,0,0
603,5606,4,2,21.0,0,3
604,6626,2,2,43.0,0,3
605,8599,3,3,59.0,0,0
606,14211,5,4,28.0,0,0
607,14653,5,2,29.0,0,0
608,15883,5,3,36.0,0,0
609,16586,7,3,49.0,1,2
610,5102,1,1,60.0,0,3
611,7763,2,2,60.0,0,3
612,5980,2,1,57.0,1,3
614,8100,4,2,42.0,0,3
615,17974,8,4,44.0,1,2
616,13949,4,3,21.0,0,0
617,6735,2,2,64.0,1,2
618,23062,9,4,29.0,0,1
619,13440,4,3,41.0,0,0
620,5373,2,2,63.0,1,2
621,7307,3,3,26.0,0,0
622,9305,2,2,53.0,0,3
623,8674,3,2,23.0,0,3
624,10873,3,2,69.0,0,3
625,26445,9,4,45.0,0,1
626,4772,2,2,68.0,0,3
627,13431,4,3,43.0,0,0
628,10562,4,2,60.0,1,2
629,2350,2,2,31.0,0,3
630,29948,10,4,57.0,0,1
631,14142,5,2,30.0,0,0
632,18397,5,3,30.0,0,0
633,10764,6,3,55.0,0,0
634,21618,9,4,29.0,0,1
635,11466,5,4,60.0,0,0
636,12144,3,2,62.0,0,3
637,14961,6,3,43.0,0,0
638,10118,3,3,44.0,0,0
639,3796,2,2,67.0,0,3
640,25145,9,3,22.0,0,1
641,15956,6,4,46.0,1,2
642,10072,4,3,56.0,0,0
643,9148,4,3,39.0,0,0
644,21758,8,3,31.0,0,1
645,13953,6,3,45.0,1,2
646,8708,3,2,69.0,0,3
647,666,1,1,35.0,0,3
648,7955,5,3,46.0,0,0
649,7572,5,3,56.0,0,0
650,14298,7,3,33.0,1,2
651,19678,10,4,19.0,1,1
652,8663,5,4,62.0,1,2
653,5088,2,2,22.0,0,3
654,4878,3,3,45.0,1,2
655,22047,8,3,48.0,0,1
656,8959,6,3,36.0,1,2
658,9150,3,2,60.0,0,3
659,12330,5,3,43.0,0,0
660,16901,6,4,49.0,1,2
661,8857,3,3,18.0,1,2
662,7105,4,2,39.0,1,2
663,27752,10,4,33.0,1,1
664,16770,6,2,18.0,0,0
665,15452,5,3,26.0,0,0
666,15183,4,4,59.0,1,2
667,3840,3,1,40.0,0,3
668,17767,10,4,45.0,0,1
669,27056,9,3,24.0,0,1
670,9493,3,2,49.0,0,3
671,21590,7,3,66.0,0,1
672,9472,4,3,43.0,0,0
673,755,1,1,46.0,0,3
674,20644,7,4,55.0,0,1
675,9873,3,2,54.0,1,2
676,13475,5,3,52.0,0,0
677,19405,6,4,63.0,0,1
678,20818,8,4,44.0,0,1
679,19004,5,4,68.0,1,2
680,5784,3,1,18.0,0,3
681,7582,2,2,58.0,0,3
682,18485,7,3,70.0,0,1
683,19152,6,4,59.0,0,1
684,14074,6,2,31.0,1,2
685,3701,3,2,31.0,0,3
686,7822,2,2,55.0,1,2
687,8395,2,2,40.0,1,2
688,2075,1,1,24.0,1,3
689,12463,4,3,49.0,0,0
690,12773,3,2,42.0,0,3
691,7219,3,3,49.0,0,0
692,16707,5,3,57.0,0,0
693,2678,3,1,18.0,0,3
694,10571,4,4,48.0,0,0
695,14347,4,3,50.0,0,0
696,797,1,1,36.0,0,3
697,19096,6,2,23.0,0,0
698,12673,6,3,23.0,0,0
699,15301,7,4,27.0,0,0
700,11085,3,2,55.0,0,3
701,6339,2,2,63.0,0,3
702,16995,5,4,27.0,0,0
703,6359,2,1,48.0,1,3
704,15097,4,2,51.0,0,3
705,14241,7,2,22.0,0,0
706,8218,4,3,62.0,0,0
707,19611,5,2,39.0,0,0
708,14792,6,3,53.0,0,0
709,11335,5,3,32.0,0,0
710,20976,7,4,62.0,0,1
711,14232,7,4,55.0,0,0
712,20667,6,3,35.0,0,0
713,5349,3,2,46.0,0,3
714,19127,7,3,70.0,0,1
715,15745,6,2,42.0,1,2
716,3919,1,1,67.0,0,3
717,12541,4,2,61.0,0,3
718,8973,3,2,21.0,1,2
719,12055,5,3,40.0,1,2
720,19166,6,3,46.0,0,0
721,6741,3,2,37.0,0,3
722,22479,8,3,20.0,0,1
723,20785,8,4,41.0,0,1
724,3411,3,3,23.0,0,3
725,8367,4,2,22.0,0,3
726,11790,4,2,45.0,0,3
727,10470,3,2,40.0,1,2
728,8378,4,2,44.0,1,2
729,9351,5,2,27.0,0,3
730,30587,12,4,37.0,1,1
731,11453,3,2,43.0,0,3
732,25122,7,3,34.0,0,1
733,8516,5,3,24.0,0,0
734,14355,7,3,26.0,0,0
735,11920,5,3,51.0,1,2
736,14728,5,3,20.0,1,2
737,8717,5,3,30.0,0,0
738,3231,3,3,30.0,0,3
739,10327,5,3,22.0,0,0
740,22729,9,3,39.0,0,1
741,4816,3,3,41.0,0,3
742,16904,5,3,44.0,0,0
743,31135,10,3,30.0,0,1
744,13251,4,3,62.0,0,0
745,6311,3,3,68.0,1,2
746,14686,5,3,45.0,1,2
747,17784,5,4,54.0,0,0
748,11562,5,3,61.0,0,0
749,19108,7,3,18.0,1,2
750,1430,2,2,44.0,0,3
751,13401,4,3,58.0,1,2
752,16813,5,3,29.0,1,2
753,10911,4,4,46.0,0,0
754,11564,5,3,70.0,0,0
755,9980,4,3,65.0,0,0
756,9744,4,3,53.0,0,0
757,6245,2,1,55.0,0,3
758,13941,4,3,66.0,1,2
759,4606,1,1,49.0,0,3
760,6255,2,2,67.0,0,3
761,25486,9,2,57.0,0,1
762,15136,8,4,61.0,0,1
763,14824,4,3,29.0,0,0
764,15023,6,4,24.0,0,0
765,15941,4,3,27.0,0,0
766,18084,9,4,46.0,0,1
767,19659,6,3,66.0,0,0
768,19093,7,4,47.0,0,1
769,6926,4,2,30.0,0,3
770,23148,6,4,58.0,0,1
771,11461,4,3,27.0,0,0
772,8370,4,2,25.0,1,2
773,14077,4,2,64.0,0,3
774,17867,7,2,43.0,0,0
775,6056,3,3,46.0,0,0
776,14734,6,4,23.0,0,0
777,13422,5,4,24.0,0,0
778,7649,3,2,52.0,0,3
779,4305,3,2,29.0,0,3
780,824,1,1,22.0,0,3
781,20679,7,3,41.0,0,1
782,8034,3,3,68.0,0,0
783,10563,4,3,70.0,0,0
784,6602,4,2,69.0,0,3
785,8623,5,2,39.0,0,3
786,8269,4,2,38.0,0,3
787,4602,1,1,36.0,0,3
788,14855,5,3,34.0,0,0
789,3167,2,2,46.0,0,3
790,10760,5,4,23.0,0,0
791,22858,7,3,54.0,0,1
792,8068,3,3,45.0,0,0
793,6414,3,2,34.0,0,3
794,19827,7,4,63.0,0,1
795,12227,4,2,62.0,0,3
797,220,1,1,21.0,0,3
798,16152,5,4,40.0,0,0
799,24039,6,3,32.0,0,1
800,23458,10,3,25.0,1,1
801,6888,3,2,62.0,0,3
802,10892,4,4,62.0,0,0
803,22704,7,4,18.0,0,1
804,10176,3,2,36.0,0,3
805,16909,7,3,20.0,0,0
806,12000,4,2,48.0,0,3
807,21627,7,3,19.0,0,1
808,5617,3,2,56.0,0,3
809,14823,5,2,59.0,0,0
810,19661,8,3,69.0,1,2
811,10832,4,2,45.0,0,3
812,14573,6,3,32.0,0,0
813,5634,2,2,43.0,0,3
814,14913,5,3,37.0,0,0
815,7898,2,1,68.0,0,3
816,4578,4,3,45.0,0,0
817,13551,5,3,38.0,0,0
818,20475,7,3,65.0,0,1
819,15655,5,4,65.0,0,0
820,25363,8,4,58.0,0,1
821,14570,6,3,64.0,1,2
822,12874,5,4,25.0,0,0
823,14322,4,3,34.0,0,0
824,5160,3,2,52.0,0,3
